Order_ID,Agent_Age,Agent_Rating,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude,Weather,Traffic,Vehicle,Area,Delivery_Time,Category,Year,Month,Day,Weekday,Order_Hour,Pickup_Hour
rkzt648036688,33,4.3,12.986047,80.218114,13.116047,80.348114,Windy,Jam,scooter ,Metropolitian ,195,Snacks,2022,3,27,6,19.0,19
segh259958026,25,4.0,19.221315,72.862381,19.261315,72.902381,Cloudy,High,motorcycle ,Metropolitian ,170,Jewelry,2022,3,26,5,12.0,12
owvs520891091,29,4.5,13.005801,80.250744,13.115801,80.360744,Sunny,Medium,van,Metropolitian ,75,Outdoors,2022,3,27,6,18.0,18
edrh271340988,27,5.0,26.849596,75.800512,26.879596,75.830512,Stormy,Jam,motorcycle ,Urban ,90,Cosmetics,2022,4,5,1,20.0,20
qvfd540651807,35,4.3,21.160522,72.771477,21.250522,72.861477,Cloudy,Low,scooter ,Metropolitian ,190,Electronics,2022,3,12,5,23.0,23
gzfn634029300,32,4.0,12.934179,77.615797,13.024179,77.705797,Windy,Jam,motorcycle ,Metropolitian ,235,Cosmetics,2022,3,16,2,21.0,21
xjps180812498,23,4.8,18.51421,73.838429,18.62421,73.948429,Windy,Low,van,Urban ,60,Jewelry,2022,4,2,5,23.0,23
ahpg083217029,31,4.8,11.022477,76.995667,11.052477,77.025667,Sandstorms,Low,motorcycle ,Metropolitian ,130,Jewelry,2022,4,1,4,22.0,22
itii428784576,36,4.1,21.160437,72.774209,21.210437,72.824209,Stormy,Low,motorcycle ,Urban ,110,Cosmetics,2022,3,5,5,22.0,22
asis944862845,26,4.3,15.51315,73.78346,15.56315,73.83346,Sandstorms,Low,motorcycle ,Urban ,105,Jewelry,2022,2,11,4,23.0,23
xzkg140273315,38,4.9,15.561295,73.749478,15.601295,73.789478,Cloudy,High,scooter ,Urban ,125,Shoes,2022,2,11,4,13.0,13
zotl583816092,32,3.5,0.0,0.0,0.11,0.11,Stormy,Jam,scooter ,Urban ,35,Grocery,2022,3,8,1,21.0,21
agoo012263585,32,4.6,18.563934,73.915367,18.693935,74.045367,Cloudy,Low,scooter ,Metropolitian ,150,Sports,2022,4,2,5,22.0,22
ezif478391605,33,4.9,18.55144,73.804855,18.62144,73.874855,Sunny,Medium,motorcycle ,Metropolitian ,110,Jewelry,2022,3,8,1,18.0,19
tixw400453550,20,4.7,18.593481,73.785901,18.633481,73.825901,Windy,High,scooter ,Urban ,50,Toys,2022,4,3,6,14.0,14
mrfx777445506,20,4.8,21.173343,72.792731,21.183343,72.802731,Sandstorms,Low,scooter ,Metropolitian ,95,Kitchen,2022,3,30,2,11.0,11
czjt755903822,35,5.0,17.451976,78.385883,17.471976,78.405883,Sunny,Low,scooter ,Urban ,55,Clothing,2022,4,1,4,9.0,9
zqtj827550147,26,4.9,12.972532,77.608179,12.992532,77.628179,Stormy,Low,scooter ,Metropolitian ,55,Kitchen,2022,3,28,0,8.0,8
luka250567007,22,4.8,12.972532,77.608179,13.042532,77.678179,Fog,Low,motorcycle ,Metropolitian ,140,Books,2022,3,18,4,23.0,23
zkat983341391,35,4.3,13.064181,80.236442,13.134181,80.306442,Cloudy,Medium,motorcycle ,Metropolitian ,33,Grocery,2022,3,14,0,17.0,17
ydhu273019158,37,4.7,21.149569,72.772697,21.239569,72.862697,Sandstorms,Jam,motorcycle ,Metropolitian ,260,Clothing,2022,4,4,0,19.0,19
rpuq263118672,28,4.6,19.091458,72.827808,19.201458,72.937808,Stormy,Jam,scooter ,Metropolitian ,110,Cosmetics,2022,3,8,1,19.0,19
nvck471535045,37,4.9,22.539129,88.365507,22.559129,88.385507,Fog,Low,scooter ,Urban ,16,Grocery,2022,2,13,6,10.0,11
rxgx102974679,23,4.9,19.221315,72.862381,19.281315,72.922381,Sunny,Jam,van,Metropolitian ,55,Apparel,2022,3,24,3,21.0,21
ikas794013321,27,4.9,12.970324,77.645748,13.030324,77.705748,Windy,Medium,scooter ,Metropolitian ,125,Snacks,2022,3,19,5,19.0,19
dsyl658069912,37,4.8,13.064181,80.236442,13.104181,80.276442,Cloudy,Medium,motorcycle ,Urban ,130,Jewelry,2022,3,9,2,16.0,16
wzoc344425774,33,5.0,21.175975,72.795503,21.185975,72.805503,Sunny,High,scooter ,Metropolitian ,90,Shoes,2022,3,19,5,11.0,11
dwnh519656346,31,4.9,23.369746,85.33982,23.409746,85.37982,Fog,Medium,motorcycle ,Metropolitian ,80,Books,2022,4,3,6,15.0,15
yakw330215137,31,4.8,12.914264,77.6784,13.024264,77.7884,Stormy,Low,scooter ,Metropolitian ,115,Cosmetics,2022,3,25,4,22.0,22
dcdm719150402,25,5.0,0.0,0.0,0.03,0.03,Cloudy,Low,motorcycle ,Metropolitian ,75,Home,2022,2,13,6,22.0,22
fris321432357,28,4.8,11.003681,76.975525,11.083681,77.055525,Sandstorms,Jam,motorcycle ,Metropolitian ,180,Kitchen,2022,4,4,0,20.0,20
mxuw713526914,31,4.7,21.173343,72.792731,21.233343,72.852731,Cloudy,Low,motorcycle ,Metropolitian ,80,Clothing,2022,3,26,5,22.0,23
carl449634661,24,4.7,10.96185,76.971082,11.05185,77.061082,Sunny,Medium,motorcycle ,Urban ,95,Snacks,2022,3,10,3,17.0,18
msnw786727644,39,4.6,27.165108,78.015053,27.255108,78.105053,Sunny,Low,motorcycle ,Metropolitian ,135,Jewelry,2022,2,14,0,22.0,23
bbow373480117,39,4.2,0.0,0.0,0.08,0.08,Fog,Jam,scooter ,Semi-Urban ,245,Apparel,2022,3,2,2,20.0,20
vizd072469706,32,4.5,26.88842,75.800689,26.89842,75.810689,Windy,Low,scooter ,Other,100,Shoes,2022,3,26,5,9.0,9
etss702593505,36,4.7,0.0,0.0,0.06,0.06,Cloudy,Jam,motorcycle ,Metropolitian ,150,Sports,2022,3,13,6,20.0,20
rxxx129114996,25,4.8,26.913987,75.752891,26.993987,75.832891,Sandstorms,Low,scooter ,Urban ,90,Cosmetics,2022,3,29,1,22.0,22
bull762076829,33,4.9,12.3085,76.665808,12.3385,76.695808,Sunny,Jam,scooter ,Metropolitian ,110,Books,2022,3,30,2,21.0,22
fpkv432118410,30,4.4,21.183434,72.814492,21.253434,72.884492,Cloudy,Low,scooter ,Metropolitian ,170,Shoes,2022,3,12,5,22.0,22
udpq945815554,33,5.0,19.254567,72.848923,19.364567,72.958923,Sandstorms,Low,motorcycle ,Urban ,120,Jewelry,2022,3,31,3,23.0,23
qeqp930384577,36,4.9,18.55144,73.804855,18.59144,73.844855,Fog,Medium,scooter ,Metropolitian ,85,Pet Supplies,2022,3,17,3,15.0,15
cwvq091479872,21,4.8,25.449659,81.839744,25.469659,81.859744,Sandstorms,Low,van,Metropolitian ,70,Shoes,2022,2,15,1,10.0,10
ivtf765857546,39,4.9,30.372202,78.077151,30.422202,78.127151,Stormy,Jam,motorcycle ,Metropolitian ,150,Skincare,2022,2,15,1,20.0,21
emlt327861941,23,4.8,0.0,0.0,0.02,0.02,Stormy,Low,scooter ,Metropolitian ,15,Grocery,2022,3,7,0,10.0,10
rufz727804632,35,4.8,0.0,0.0,0.04,0.04,Fog,Medium,scooter ,Urban ,80,Apparel,2022,3,28,0,15.0,16
gkrb550339468,39,4.6,12.972793,80.249982,13.062793,80.339982,Cloudy,Jam,scooter ,Metropolitian ,180,Home,2022,3,16,2,20.0,20
tsec016509855,22,4.7,21.157735,72.768778,21.197735,72.808778,Sunny,High,scooter ,Urban ,90,Sports,2022,3,17,3,12.0,12
xczs106918282,32,4.6,21.186438,72.794115,21.226438,72.834115,Fog,Medium,scooter ,Metropolitian ,85,Outdoors,2022,3,15,1,15.0,15
lgee738117860,24,4.8,0.0,0.0,0.08,0.08,Sandstorms,Low,motorcycle ,Urban ,75,Apparel,2022,3,25,4,22.0,22
nxfs257449148,29,4.7,0.0,0.0,0.02,0.02,Fog,Low,motorcycle ,Metropolitian ,85,Books,2022,3,9,2,10.0,10
wycd588946822,26,4.7,17.431477,78.40035,17.491477,78.46035,Fog,Low,motorcycle ,Metropolitian ,50,Shoes,2022,3,5,5,23.0,0
bhdi726355812,20,4.5,0.0,0.0,0.05,0.05,Fog,Jam,motorcycle ,Metropolitian ,135,Sports,2022,2,11,4,21.0,21
wnbv620439671,35,4.1,13.064181,80.236442,13.154181,80.326442,Sandstorms,Jam,motorcycle ,Metropolitian ,185,Pet Supplies,2022,3,12,5,20.0,20
jvco758418006,39,4.6,12.933298,77.614293,13.023298,77.704293,Fog,Jam,scooter ,Metropolitian ,220,Electronics,2022,3,29,1,20.0,21
zkks967394571,34,4.7,22.311358,73.164798,22.351358,73.204798,Windy,High,van,Metropolitian ,140,Snacks,2022,3,19,5,12.0,12
oiyh656906407,27,4.7,12.934365,77.616155,13.044365,77.726155,Cloudy,Jam,scooter ,Metropolitian ,210,Apparel,2022,3,10,3,21.0,21
dfit633531471,30,4.8,0.0,0.0,0.11,0.11,Windy,Low,motorcycle ,Metropolitian ,125,Sports,2022,2,16,2,23.0,23
qhxw976953297,25,4.4,13.086438,80.220672,13.196438,80.330672,Cloudy,Medium,scooter ,Metropolitian ,195,Jewelry,2022,3,27,6,18.0,18
mryb985330207,25,4.7,19.254567,72.848923,19.364567,72.958923,Stormy,Medium,motorcycle ,Urban ,100,Electronics,2022,3,27,6,18.0,18
jzam829230168,30,5.0,26.913483,75.803139,26.933483,75.823139,Stormy,High,motorcycle ,Metropolitian ,155,Kitchen,2022,3,24,3,11.0,11
xnod694467359,24,4.6,17.411028,78.329645,17.471028,78.389645,Stormy,Jam,motorcycle ,Metropolitian ,65,Home,2022,3,9,2,20.0,20
hcno407153953,39,4.8,18.516216,73.842527,18.566216,73.892527,Stormy,Jam,motorcycle ,Metropolitian ,140,Home,2022,3,3,3,21.0,22
gyjc869072111,25,4.8,15.5696,73.742294,15.6096,73.782294,Windy,High,scooter ,Urban ,95,Snacks,2022,2,15,1,12.0,12
wkqq813752515,37,4.6,19.876428,75.364792,19.956428,75.444792,Fog,Low,motorcycle ,Urban ,210,Kitchen,2022,2,18,4,23.0,23
vdfj488526028,24,5.0,12.939496,77.625999,12.949496,77.635999,Fog,Low,motorcycle ,Metropolitian ,115,Electronics,2022,3,1,1,10.0,10
pngq326709686,25,4.2,17.433809,78.386744,17.543809,78.496744,Stormy,Jam,motorcycle ,Metropolitian ,195,Cosmetics,2022,3,23,2,21.0,21
caja224507886,32,4.6,23.374878,85.335739,23.384878,85.345739,Stormy,Low,motorcycle ,Metropolitian ,125,Outdoors,2022,4,1,4,10.0,10
hnme204254454,34,4.7,-27.163303,78.057044,27.233303,78.127044,Sandstorms,Low,scooter ,Metropolitian ,75,Clothing,2022,2,16,2,23.0,23
uehx759760979,38,4.9,22.74806,75.8934,22.76806,75.9134,Cloudy,Low,scooter ,Urban ,75,Books,2022,3,11,4,8.0,8
sdod930462581,36,4.8,26.891191,75.802083,26.981191,75.892083,Sunny,Medium,van,Metropolitian ,75,Home,2022,3,14,0,17.0,17
visy471360404,25,5.0,21.160437,72.774209,21.270437,72.884209,Stormy,Jam,motorcycle ,Metropolitian ,75,Electronics,2022,3,18,4,20.0,20
wddq796276216,29,5.0,12.316967,76.603067,12.366967,76.653067,Sunny,Low,motorcycle ,Metropolitian ,90,Outdoors,2022,4,1,4,22.0,22
pqya338067587,36,4.7,18.927584,72.832585,19.017584,72.922585,Sandstorms,Low,van,Metropolitian ,145,Clothing,2022,4,4,0,23.0,23
last796029882,33,4.7,11.022298,76.998349,11.072298,77.048349,Fog,Low,motorcycle ,Metropolitian ,100,Snacks,2022,3,11,4,23.0,23
mzyt873581742,36,4.4,12.325461,76.632278,12.365461,76.672278,Cloudy,High,scooter ,Metropolitian ,195,Skincare,2022,3,13,6,12.0,12
kbhb286226770,21,4.8,18.530963,73.828972,18.640963,73.938972,Windy,Low,motorcycle ,Metropolitian ,95,Sports,2022,3,4,4,23.0,23
okvp821614347,25,4.8,17.458998,78.500366,17.488998,78.530366,Cloudy,Low,scooter ,Urban ,19,Grocery,2022,3,26,5,23.0,0
oska955853002,23,4.8,19.1813,72.836191,19.3113,72.966191,Windy,Low,motorcycle ,Metropolitian ,85,Electronics,2022,3,16,2,22.0,23
rgwl479077727,25,4.6,11.022477,76.995667,11.032477,77.005667,Stormy,Low,motorcycle ,Urban ,75,Books,2022,3,1,1,10.0,10
tmzv371880726,24,4.3,22.727021,75.884167,22.747021,75.904167,Sandstorms,Low,motorcycle ,Urban ,95,Apparel,2022,3,15,1,8.0,9
ofxt601212694,27,4.6,12.979166,77.640709,13.069166,77.730709,Sandstorms,Jam,motorcycle ,Metropolitian ,145,Apparel,2022,3,4,4,21.0,21
lbui872023073,23,4.8,18.994237,72.825553,19.104237,72.935553,Cloudy,Low,scooter ,Urban ,110,Jewelry,2022,3,18,4,22.0,22
ixfk439251990,21,4.3,12.284747,76.625861,12.414747,76.755861,Fog,Jam,scooter ,Metropolitian ,210,Books,2022,3,23,2,20.0,20
njfz936670348,27,4.7,21.175975,72.795503,21.195975,72.815503,Sandstorms,Low,scooter ,Urban ,60,Sports,2022,3,15,1,10.0,11
drir663128253,32,4.2,11.000762,76.981876,11.130762,77.111876,Cloudy,Jam,motorcycle ,Metropolitian ,190,Skincare,2022,3,8,1,20.0,20
drdr957134932,25,4.6,21.173343,72.792731,21.283343,72.902731,Sunny,Low,motorcycle ,Metropolitian ,115,Outdoors,2022,3,10,3,23.0,23
qrzj427928057,39,4.7,26.479108,80.315042,26.499108,80.335042,Cloudy,Low,scooter ,Metropolitian ,75,Books,2022,2,11,4,10.0,10
hkit681446136,27,4.6,21.175104,72.804342,21.255104,72.884342,Sunny,Low,motorcycle ,Metropolitian ,120,Shoes,2022,3,14,0,23.0,23
imnm972342448,39,3.8,19.176269,72.836721,19.286269,72.946721,Windy,Jam,motorcycle ,Metropolitian ,185,Books,2022,3,16,2,19.0,20
wnne890905509,31,4.8,12.975377,77.696664,13.025377,77.746664,Sandstorms,Low,scooter ,Metropolitian ,120,Sports,2022,3,1,1,22.0,22
kbdc711046313,31,4.8,23.359194,85.325447,23.419194,85.385447,Sunny,Low,van,Metropolitian ,65,Kitchen,2022,3,1,1,23.0,23
alem833315854,20,4.8,12.297954,76.665169,12.307954,76.675169,Cloudy,Low,motorcycle ,Other,80,Sports,2022,3,30,2,9.0,9
khjm619520065,36,4.9,23.359407,85.325055,23.439407,85.405055,Cloudy,Medium,motorcycle ,Urban ,210,Cosmetics,2022,3,2,2,18.0,18
oiay843077855,20,4.9,23.416792,85.316842,23.506792,85.406842,Sandstorms,Low,motorcycle ,Metropolitian ,85,Toys,2022,3,20,6,22.0,22
ohhc448549441,24,4.6,26.892312,75.806896,26.922313,75.836896,Cloudy,Jam,motorcycle ,Metropolitian ,125,Jewelry,2022,4,3,6,20.0,21
knul324217390,39,4.2,22.761593,75.886362,22.871593,75.996362,Fog,Medium,scooter ,Metropolitian ,195,Clothing,2022,3,29,1,18.0,18
buux572471968,37,4.8,11.026117,76.944652,11.066117,76.984652,Sunny,High,scooter ,Metropolitian ,90,Shoes,2022,3,17,3,14.0,15
ieue797662723,32,4.9,13.064181,80.236442,13.104181,80.276442,Sandstorms,Medium,motorcycle ,Metropolitian ,140,Books,2022,3,17,3,16.0,17
eztk468187811,22,4.5,26.483042,80.317833,26.533042,80.367833,Sandstorms,Low,scooter ,Metropolitian ,90,Skincare,2022,2,15,1,22.0,22
zzid436960558,23,4.9,11.000762,76.981876,11.130762,77.111876,Windy,Low,scooter ,Metropolitian ,90,Clothing,2022,3,18,4,0.0,0
kllk327072475,33,4.7,23.359033,85.325347,23.469033,85.435347,Fog,Jam,scooter ,Metropolitian ,245,Apparel,2022,3,8,1,21.0,21
uurs547552548,23,4.633780473846858,22.569358,88.433452,22.599358,88.463452,Sunny,Low,motorcycle ,Metropolitian ,75,Snacks,2022,2,17,3,23.0,23
ubwl989345056,27,4.6,12.914264,77.6784,12.994264,77.7584,Sunny,Low,motorcycle ,Metropolitian ,105,Pet Supplies,2022,3,31,3,23.0,23
iimu721647260,34,4.7,19.121999,72.908493,19.161999,72.948493,Sunny,High,scooter ,Metropolitian ,115,Toys,2022,3,1,1,14.0,14
tfxz025621580,26,5.0,21.157729,72.768726,21.167729,72.778726,Fog,Low,scooter ,Urban ,55,Sports,2022,4,3,6,10.0,10
kgjb145446786,31,4.6,22.311603,73.165012,22.371603,73.225012,Cloudy,Jam,motorcycle ,Metropolitian ,125,Snacks,2022,3,24,3,21.0,21
xrxy085440961,32,4.9,18.536562,73.896485,18.556562,73.916485,Fog,Low,motorcycle ,Metropolitian ,90,Books,2022,3,7,0,8.0,8
pnzt689957903,27,4.7,22.745536,75.893106,22.765536,75.913106,Cloudy,Low,motorcycle ,Metropolitian ,70,Shoes,2022,3,9,2,9.0,9
qrng205617369,21,4.9,12.933298,77.614293,13.023298,77.704293,Windy,Medium,motorcycle ,Metropolitian ,180,Pet Supplies,2022,3,12,5,17.0,18
gycd207308146,28,4.8,12.939496,77.625999,12.989496,77.675999,Fog,Low,motorcycle ,Metropolitian ,90,Kitchen,2022,3,24,3,23.0,23
wqfy256790455,24,4.9,0.0,0.0,0.04,0.04,Fog,Medium,scooter ,Urban ,85,Toys,2022,3,30,2,16.0,16
vgjr167867003,33,4.4,17.426228,78.407495,17.436228,78.417495,Sandstorms,Low,motorcycle ,Metropolitian ,140,Electronics,2022,3,5,5,8.0,8
jqco336937571,20,4.6,12.934365,77.616155,13.024365,77.706155,Fog,Jam,motorcycle ,Metropolitian ,220,Home,2022,3,18,4,20.0,20
iwkp065421476,31,4.3,11.003669,76.976494,11.063669,77.036494,Windy,Low,motorcycle ,Metropolitian ,100,Toys,2022,3,13,6,23.0,23
nwvu459529234,36,5.0,22.311358,73.164798,22.381358,73.234798,Fog,Jam,motorcycle ,Metropolitian ,175,Shoes,2022,3,31,3,19.0,20
jjcl090851660,31,4.2,12.986047,80.218114,13.096047,80.328114,Sandstorms,Jam,motorcycle ,Metropolitian ,50,Grocery,2022,3,23,2,21.0,21
bpbi053158546,39,4.1,17.41233,78.449654,17.47233,78.509654,Stormy,Jam,scooter ,Metropolitian ,170,Electronics,2022,3,24,3,21.0,21
ksec432319879,29,4.6,21.17106,72.789292,21.25106,72.869292,Sunny,Jam,van,Metropolitian ,85,Outdoors,2022,3,12,5,19.0,19
rszv454658332,29,4.6,21.186884,72.793616,21.226884,72.833616,Sandstorms,High,scooter ,Urban ,115,Apparel,2022,3,3,3,14.0,15
cdyc438548517,37,4.9,11.026117,76.944652,11.056117,76.974652,Fog,Medium,motorcycle ,Metropolitian ,135,Books,2022,3,9,2,18.0,18
xoka811702118,33,4.7,0.0,0.0,0.04,0.04,Cloudy,High,motorcycle ,Urban ,130,Skincare,2022,3,17,3,12.0,12
nyum131271823,31,3.9,19.065838,72.832658,19.135838,72.902658,Cloudy,Low,scooter ,Metropolitian ,175,Pet Supplies,2022,3,18,4,23.0,23
iwoy649851528,37,4.6,0.0,0.0,0.04,0.04,Windy,High,motorcycle ,Urban ,205,Outdoors,2022,3,19,5,12.0,12
lhus187289759,26,4.4,12.98041,77.640489,13.04041,77.700489,Sandstorms,Low,motorcycle ,Other,115,Toys,2022,3,7,0,23.0,23
szbb646301545,24,4.6,11.022477,76.995667,11.132477,77.105667,Stormy,Medium,motorcycle ,Metropolitian ,150,Clothing,2022,3,4,4,17.0,18
bwgn919229310,23,4.8,0.0,0.0,0.02,0.02,Windy,Low,scooter ,Metropolitian ,95,Pet Supplies,2022,4,3,6,10.0,10
pdxn136638766,36,4.9,0.0,0.0,0.01,0.01,Windy,Low,scooter ,Metropolitian ,135,Electronics,2022,3,11,4,9.0,9
zzsx562940707,39,4.8,12.310972,76.659264,12.350972,76.699264,Cloudy,High,motorcycle ,Metropolitian ,140,Cosmetics,2022,4,1,4,12.0,12
gyvm380029078,20,4.7,11.025083,77.015393,11.105083,77.095393,Sandstorms,Medium,motorcycle ,Metropolitian ,120,Toys,2022,3,20,6,17.0,17
umwc109456087,20,5.0,12.316967,76.603067,12.446967,76.733067,Cloudy,Jam,motorcycle ,Urban ,180,Sports,2022,3,31,3,19.0,19
dsbe906886027,29,4.3,22.538731,88.364878,22.598731,88.424878,Sandstorms,Low,motorcycle ,Metropolitian ,140,Cosmetics,2022,2,13,6,23.0,23
xnzb532907287,36,4.8,11.001753,76.986241,11.111753,77.096241,Fog,Medium,motorcycle ,Urban ,155,Snacks,2022,3,29,1,18.0,18
ltrp525870768,36,4.0,22.310237,73.158921,22.400237,73.248921,Sunny,Jam,motorcycle ,Metropolitian ,220,Skincare,2022,3,16,2,20.0,20
rbzk606295253,22,4.8,23.359033,85.325347,23.439033,85.405347,Windy,Low,scooter ,Metropolitian ,75,Cosmetics,2022,3,14,0,22.0,22
ltoi660207512,38,4.4,18.593481,73.785901,18.663481,73.855901,Windy,Medium,motorcycle ,Metropolitian ,165,Toys,2022,3,31,3,17.0,17
pkhq469939766,39,4.9,21.186438,72.794115,21.236438,72.844115,Fog,Jam,motorcycle ,Metropolitian ,150,Cosmetics,2022,3,17,3,19.0,20
jgbc287273591,24,4.9,22.725748,75.898497,22.775748,75.948497,Stormy,Medium,scooter ,Metropolitian ,110,Outdoors,2022,3,28,0,18.0,18
xzzw562394658,30,4.1,0.0,0.0,0.07,0.07,Fog,Low,motorcycle ,Metropolitian ,215,Sports,2022,4,4,0,23.0,0
gjwc226881646,35,4.8,17.450851,78.379347,17.540851,78.469347,Fog,Medium,motorcycle ,Metropolitian ,240,Jewelry,2022,3,4,4,17.0,17
lrbb564302256,33,4.5,13.081878,80.248519,13.171878,80.338519,Stormy,Low,van,Metropolitian ,95,Shoes,2022,3,4,4,23.0,0
fkyd365052251,39,4.7,10.035573,76.336958,10.105573,76.406958,Windy,Medium,motorcycle ,Urban ,105,Cosmetics,2022,2,14,0,18.0,18
wciq107093545,31,4.3,22.308096,73.167753,22.388096,73.247753,Windy,Jam,motorcycle ,Metropolitian ,220,Outdoors,2022,3,25,4,21.0,21
edxx482704762,37,4.5,12.975996,80.221898,12.985996,80.231898,Windy,Low,scooter ,Metropolitian ,130,Books,2022,3,17,3,8.0,8
jxsj508533395,37,4.7,12.3085,76.665808,12.3385,76.695808,Windy,Low,scooter ,Metropolitian ,26,Grocery,2022,4,1,4,22.0,22
xlta607070306,33,5.0,19.178321,72.834715,19.188321,72.844715,Windy,High,motorcycle ,Metropolitian ,155,Sports,2022,3,19,5,11.0,11
lubd358643567,24,4.6,0.0,0.0,0.06,0.06,Stormy,Low,scooter ,Urban ,19,Grocery,2022,3,7,0,23.0,23
ycwb227184501,33,4.5,26.910262,75.783013,26.990262,75.863013,Sunny,Jam,scooter ,Metropolitian ,90,Kitchen,2022,3,2,2,19.0,19
mikp615052003,39,4.7,25.443994,81.860187,25.513994,81.930187,Fog,Medium,motorcycle ,Metropolitian ,190,Electronics,2022,2,16,2,18.0,19
djrw974238657,37,4.6,23.359194,85.325447,23.449194,85.415447,Cloudy,Medium,motorcycle ,Metropolitian ,160,Outdoors,2022,3,29,1,18.0,18
rxki994339301,25,4.9,17.458998,78.500366,17.508998,78.550366,Sandstorms,Low,scooter ,Metropolitian ,85,Jewelry,2022,3,7,0,22.0,22
wfjy432968933,28,4.8,18.530963,73.828972,18.590963,73.888972,Fog,Medium,scooter ,Urban ,55,Books,2022,3,3,3,19.0,19
opdl820466364,38,4.7,12.321214,76.621094,12.361214,76.661094,Windy,High,motorcycle ,Metropolitian ,155,Cosmetics,2022,3,30,2,13.0,13
wbpn330130607,31,4.6,12.3085,76.665808,12.3685,76.725808,Windy,Medium,motorcycle ,Metropolitian ,125,Skincare,2022,3,19,5,17.0,18
jtsd466670552,25,4.8,19.055831,72.833984,19.115831,72.893984,Cloudy,Jam,motorcycle ,Metropolitian ,110,Jewelry,2022,3,15,1,19.0,20
enww399699472,35,4.9,12.337928,76.617889,12.407928,76.687889,Fog,Jam,motorcycle ,Metropolitian ,215,Skincare,2022,3,2,2,21.0,21
rvns240114667,39,4.7,23.351489,85.324253,23.421489,85.394253,Fog,Jam,motorcycle ,Metropolitian ,210,Home,2022,3,31,3,19.0,19
